FID,lon,lat,speed3,speed3_3
4336,113.05845,43.40392,-125.7364453,-125.7364453
4337,113.25576,43.393024,-125.8673007,-125.8673007
4338,113.45298,43.38181,-126.2200304,-126.2200304
4339,113.650345,43.370308,-126.8154879,-126.8154879
4340,113.84751,43.358482,-127.4477099,-127.4477099
4341,114.04487,43.346355,-126.6661717,-126.6661717
4342,114.241646,43.33394,-127.5724185,-127.5724185
4343,114.43884,43.321198,-128.8861528,-128.8861528
4344,114.63591,43.30817,-128.2872671,-128.2872671
4345,114.83286,43.294823,-128.8900514,-128.8900514
4346,115.029526,43.281178,-129.9527872,-129.9527872
4347,115.22641,43.267227,-132.5836552,-132.5836552
4348,115.42322,43.25297,93.27048951,93.27048951
4349,115.61985,43.238415,142.9434742,142.9434742
4350,115.81642,43.223568,-170.6184927,-170.6184927
4351,116.01295,43.20841,-164.9986844,-164.9986844
4352,116.20937,43.192947,-164.0952999,-164.0952999
4353,116.40576,43.17719,-163.0829969,-163.0829969
4354,116.60201,43.161137,-161.6355284,-161.6355284
4355,116.79818,43.14477,-160.5374371,-160.5374371
4356,116.994316,43.12812,-158.8951641,-158.8951641
4357,117.19029,43.111164,-159.3801301,-159.3801301
4358,117.386215,43.093914,-162.0822536,-162.0822536
4359,117.58207,43.07637,-165.5122653,-165.5122653
4360,117.777794,43.058517,-168.3437603,-168.3437603
4361,117.973366,43.04038,-168.3312289,-168.3312289
4362,118.16895,43.021946,-166.8527605,-166.8527605
4363,118.36432,43.00321,-164.2488291,-164.2488291
4364,118.559586,42.984188,-160.5052964,-160.5052964
4365,118.7548,42.964874,-159.1455447,-159.1455447
4366,118.949844,42.945263,-158.9486821,-158.9486821
4367,119.14487,42.925365,-156.9203322,-156.9203322
4368,119.33977,42.90516,-154.1152124,-154.1152124
4369,119.53447,42.884678,-151.9368976,-151.9368976
4370,119.72909,42.863903,-149.8967916,-149.8967916
4371,119.9236,42.84284,-148.9087523,-148.9087523
4372,120.117935,42.821487,-148.2948427,-148.2948427
4373,120.312164,42.79985,-147.3908592,-147.3908592
4374,120.50629,42.777916,-146.5601333,-146.5601333
4375,120.70021,42.755703,-146.1853791,-146.1853791
4376,120.89406,42.7332,-146.2273763,-146.2273763
