lon,lat,uu01,vv01,speed,speed_1
110.77632,33.812565,0.87,0.03,1.975935726,1.975935726
110.94977,33.81134,0.31,0.03,5.5303438,5.5303438
111.12274,33.80988,0.37,0.02,3.09562741,3.09562741
111.29573,33.80817,0.58,0.02,1.975935726,1.975935726
111.469536,33.806206,0.68,0.02,1.685538814,1.685538814
111.64235,33.804005,0.66,0.02,1.736584963,1.736584963
111.81575,33.80155,1.01,0.02,1.134997026,1.134997026
111.98899,33.798847,1.63,0.02,0.703336985,0.703336985
112.16221,33.795902,1.77,0.02,0.647710749,0.647710749
112.3354,33.792713,2.75,0.03,0.625337093,0.625337093
112.50835,33.78928,4.7,0.03,0.36589827,0.36589827
112.68154,33.7856,6.12,0.03,0.281001871,0.281001871
112.85458,33.781685,6.79,0.04,0.337697659,0.337697659
113.0277,33.77751,6.16,0.04,0.372233994,0.372233994
113.20076,33.773087,4.39,0.06,0.783434238,0.783434238
113.37366,33.76843,4.57,0.07,0.877992358,0.877992358
113.54663,33.76352,4.66,0.08,0.984020776,0.984020776
113.71958,33.75837,4.82,0.08,0.951362286,0.951362286
113.89255,33.752975,4.99,0.08,0.918956796,0.918956796
114.065346,33.747334,4.89,0.09,1.054939313,1.054939313
114.23813,33.741455,4.66,0.09,1.106994494,1.106994494
114.41091,33.73533,4.43,0.11,1.423123477,1.423123477
114.58382,33.72895,3.85,0.1,1.488622197,1.488622197
114.75646,33.72234,3.86,0.1,1.484767389,1.484767389
114.92908,33.71548,3.87,0.09,1.332895575,1.332895575
115.1017,33.708374,3.33,0.07,1.204849236,1.204849236
115.2743,33.70103,1.82,0.07,2.203715352,2.203715352
115.446945,33.693436,1.54,0.08,2.975239402,2.975239402
115.61929,33.685616,1.42,0.09,3.628411234,3.628411234
115.7918,33.677536,0.93,0.1,6.140368855,6.140368855
115.96418,33.669224,0.51,0.1,11.09934991,11.09934991
116.13645,33.66067,0.5,0.09,10.20914933,10.20914933
116.30885,33.651867,0.26,0.08,17.11140372,17.11140372
116.48105,33.642822,0.12,0.05,22.63133807,22.63133807
116.65317,33.63354,0.05,0.02,21.81246748,21.81246748
116.82525,33.624012,0.03,0.01,18.4442993,18.4442993
116.997406,33.614246,0.03,0,0,0
117.169334,33.604244,0.03,0,0,0
117.34121,33.594,0.03,0,0,0
117.513115,33.58351,0.03,0,0,0
117.68496,33.572784,0.03,0,0,0
117.85666,33.561825,0.04,0,0,0
118.028305,33.55062,0.02,0,0,0
118.199875,33.539177,0.06,0,0,0
118.37143,33.527493,0.06,0,0,0
118.54285,33.51558,0.07,0,0,0
118.71419,33.50342,0.06,0,0,0
118.88549,33.491028,0.06,0,0,0
119.05673,33.47839,0.05,0,0,0
119.227806,33.46552,0.06,0,0,0
119.398865,33.452415,0.12,0,0,0
119.569885,33.439075,0.13,0,0,0
119.74078,33.42549,0.18,0.02,6.343407583,6.343407583
119.91156,33.411686,0.25,0.02,4.576241219,4.576241219
120.0823,33.397636,0.27,0.03,6.343407583,6.343407583
120.25289,33.383354,0.25,0.03,6.846244167,6.846244167
120.42342,33.36883,0.17,0.02,6.713240134,6.713240134
120.59391,33.354084,0.1,0.02,11.31566904,11.31566904
120.76427,33.339096,0.09,0.02,12.5351625,12.5351625
120.934494,33.323883,0.04,0.02,26.57852536,26.57852536
121.104706,33.30843,0.03,0.02,33.70715562,33.70715562
121.27478,33.292747,0.03,0.02,33.70715562,33.70715562
121.44478,33.27683,0.02,0.01,26.57852536,26.57852536
121.61462,33.26069,0.01,0.01,45.02282465,45.02282465
121.78441,33.244305,0,0.01,90.04564931,90.04564931
123.30775,33.086582,1.21,0.08,3.784564059,3.784564059
123.47649,33.067913,0.75,0.07,5.33486343,5.33486343
107.480286,33.936466,1.19,0.13,6.237642314,6.237642314
107.65381,33.93968,1.65,0.13,4.507191818,4.507191818
107.82733,33.942642,3.05,0.17,3.191852426,3.191852426
108.0007,33.945362,2.93,0.19,3.712113098,3.712113098
108.174164,33.94783,2.82,0.17,3.451575706,3.451575706
108.34778,33.95006,2.09,0.15,4.107180679,4.107180679
108.52142,33.95203,1.57,0.12,4.37301397,4.37301397
108.694336,33.953762,0.97,0.15,8.795001874,8.795001874
108.868225,33.955254,1.24,0.14,6.444867372,6.444867372
109.041626,33.95649,1.56,0.13,4.766057879,4.766057879
109.21515,33.957474,1.5,0.12,4.576241219,4.576241219
109.38867,33.95822,1.32,0.1,4.334511396,4.334511396
109.563446,33.958714,1.21,0.09,4.255994044,4.255994044
109.73682,33.958965,1.18,0.07,3.396645497,3.396645497
109.90723,33.95897,1.25,0.04,1.833769149,1.833769149
110.081566,33.958725,1.26,0.04,1.819225234,1.819225234
110.25717,33.95824,1.2,0.03,1.432822564,1.432822564
110.42979,33.95751,0.94,0.03,1.828895416,1.828895416
110.604256,33.956528,0.9,0.03,1.910120783,1.910120783
110.77758,33.9553,0.37,0.02,3.09562741,3.09562741
110.95121,33.95383,0.42,0.02,2.727693818,2.727693818
111.12466,33.952118,0.66,0.02,1.736584963,1.736584963
111.29845,33.950146,0.67,0.02,1.710681287,1.710681287
