lon,lat,uu01,vv01,vv02
122.462494,33.1765,0,0,0
122.63179,33.158966,0,0,0
122.80096,33.141216,0,0,0
122.96998,33.123234,0,0,0
123.13891,33.105022,0,0,0
123.30775,33.086582,1.21,0.08,0.08
123.47649,33.067913,0.75,0.07,0.07
107.480286,33.936466,1.19,0.13,0.13
107.65381,33.93968,1.65,0.13,0.13
107.82733,33.942642,3.05,0.17,0.17
108.0007,33.945362,2.93,0.19,0.19
108.174164,33.94783,2.82,0.17,0.17
108.34778,33.95006,2.09,0.15,0.15
108.52142,33.95203,1.57,0.12,0.12
108.694336,33.953762,0.97,0.15,0.15
108.868225,33.955254,1.24,0.14,0.14
109.041626,33.95649,1.56,0.13,0.13
109.21515,33.957474,1.5,0.12,0.12
109.38867,33.95822,1.32,0.1,0.1
109.563446,33.958714,1.21,0.09,0.09
109.73682,33.958965,1.18,0.07,0.07
109.90723,33.95897,1.25,0.04,0.04
110.081566,33.958725,1.26,0.04,0.04
110.25717,33.95824,1.2,0.03,0.03
110.42979,33.95751,0.94,0.03,0.03
110.604256,33.956528,0.9,0.03,0.03
110.77758,33.9553,0.37,0.02,0.02
110.95121,33.95383,0.42,0.02,0.02
111.12466,33.952118,0.66,0.02,0.02
111.29845,33.950146,0.67,0.02,0.02
111.4718,33.94793,0.67,0.02,0.02
111.64521,33.94547,1.08,0.01,0.01
111.81898,33.94277,1.91,0.02,0.02
111.99243,33.93981,2.8,0.02,0.02
112.165825,33.936607,3.28,0.02,0.02
112.33934,33.933163,4.09,0.02,0.02
112.512794,33.92947,5.2,0.03,0.03
112.68606,33.925533,7.34,0.03,0.03
112.85944,33.921345,7.3,0.04,0.04
113.03281,33.916916,6.38,0.05,0.05
113.20614,33.91223,5.11,0.06,0.06
113.379395,33.907307,5.04,0.08,0.08
113.55264,33.90214,4.89,0.09,0.09
113.725945,33.896732,4.84,0.1,0.1
113.89903,33.891068,4.94,0.1,0.1
114.07233,33.885166,4.78,0.1,0.1
114.245384,33.879013,4.68,0.11,0.11
114.41854,33.872616,4.26,0.12,0.12
114.59159,33.865982,3.6,0.12,0.12
114.76457,33.8591,3.48,0.12,0.12
114.93749,33.851967,3.32,0.08,0.08
115.110565,33.8446,2.18,0.07,0.07
115.28332,33.83698,1.65,0.08,0.08
115.45615,33.829124,1.45,0.09,0.09
115.628876,33.821022,1.03,0.09,0.09
115.80164,33.81268,0.65,0.09,0.09
115.97433,33.804085,0.6,0.08,0.08
116.14702,33.795254,0.12,0.06,0.06
116.31951,33.786182,0.04,0.03,0.03
116.49206,33.776867,0.02,0.01,0.01
116.664505,33.767307,0.01,0,0
116.83694,33.75751,0,0,0
117.009224,33.747467,0,0,0
117.18155,33.737186,0,0,0
117.35373,33.72666,0,0,0
117.525826,33.7159,0,0,0
117.697945,33.70489,0,0,0
117.87001,33.69365,0.01,0,0
118.04194,33.68217,0.02,0,0
118.21375,33.670444,0.02,0,0
118.38558,33.65848,0.02,0,0
118.55732,33.646286,0.03,0,0
118.728935,33.63384,0.03,0,0
118.900604,33.62117,0.04,0,0
119.07204,33.60825,0.07,0,0
119.243484,33.5951,0.14,0,0
119.4148,33.58171,0.16,0,0
119.586044,33.568085,0.28,0.02,0.02
119.757225,33.554226,0.36,0.02,0.02
119.92827,33.540134,0.36,0.03,0.03
120.09926,33.5258,0.28,0.03,0.03
120.270164,33.511223,0.19,0.02,0.02
120.441055,33.49642,0.11,0.02,0.02
120.61175,33.48138,0.09,0.02,0.02
120.78238,33.466114,0.05,0.02,0.02
120.952896,33.450607,0.04,0.02,0.02
121.12338,33.43487,0.03,0.01,0.01
121.29373,33.4189,0.01,0.01,0.01
121.463974,33.4027,0,0.01,0.01
121.63414,33.38626,0,0.01,0.01
121.80416,33.369595,0,0,0
121.97414,33.3527,0,0,0
122.14396,33.335567,0,0,0
122.31375,33.318207,0,0,0
122.4834,33.30062,0,0,0
122.652916,33.282814,0,0,0
122.82235,33.26476,0,0,0
122.991646,33.24649,0,0,0
123.16085,33.227985,1.5,0.07,0.07
123.32993,33.209255,2.74,0.12,0.12
123.49892,34.076893,2.93,0.32,0.32
107.47601,34.083584,2.22,0.21,0.21
107.6499,34.086563,2.22,0.22,0.22
107.82355,34.089287,2,0.2,0.2
107.997284,34.09177,1.87,0.17,0.17
108.17105,34.09401,1.73,0.15,0.15
108.34482,34.09599,1.52,0.12,0.12
108.518524,34.097717,1.38,0.13,0.13
108.69269,34.099213,1.23,0.12,0.12
108.86633,34.100456,0.48,0.14,0.14
109.04019,34.101444,0.63,0.13,0.13
109.21442,34.102192,0.95,0.12,0.12
109.387695,34.10269,1.02,0.11,0.11
109.5621,34.102932,0.98,0.1,0.1
109.736084,34.102943,1,0.06,0.06
109.90723,34.1027,1.12,0.05,0.05
110.08623,34.10221,1.12,0.05,0.05
110.25717,34.101475,1.11,0.03,0.03
110.43205,34.100494,0.93,0.03,0.03
110.60587,34.099266,0.76,0.03,0.03
110.77934,34.09779,0.67,0.03,0.03
110.95265,34.096066,0.74,0.02,0.02
111.126915,34.09409,0.79,0.02,0.02
111.30056,34.09187,1.04,0.02,0.02
111.47433,34.0894,2.44,0.03,0.03
111.64794,34.08668,3.95,0.02,0.02
111.8221,34.083717,3.51,0.02,0.02
111.995865,34.080505,2.83,0.02,0.02
112.169525,34.07705,2.8,0.02,0.02
112.34327,34.07334,3.43,0.02,0.02
112.517075,34.069386,6.17,0.02,0.02
112.690575,34.06518,7.5,0.03,0.03
112.86437,34.060738,7.28,0.04,0.04
113.037895,34.05604,6.29,0.05,0.05
113.21156,34.051105,5.96,0.06,0.06
113.38524,34.045918,5.65,0.1,0.1
113.55887,34.040478,5.39,0.11,0.11
113.7323,34.0348,5.13,0.11,0.11
