FID,lon,lat,uu01,vv01,speed,speed_1
303,121.855385,34.96448,0,0.02,90.04564931,90.04564931
304,109.90512,35.686844,8.64,0.37,2.453384205,2.453384205
305,110.08847,35.686855,8.23,0.16,1.114315827,1.114315827
306,110.26467,35.686596,3.82,0.07,1.050337643,1.050337643
307,110.440575,35.686077,2.98,0.06,1.154035498,1.154035498
308,110.61675,35.685307,3.87,0.06,0.888686021,0.888686021
309,110.79451,35.684277,3.65,0.05,0.785222677,0.785222677
310,110.97137,35.68299,3.99,0.03,0.431005719,0.431005719
311,111.14876,35.68145,3.78,0.03,0.454949502,0.454949502
312,111.32619,35.679646,3.44,0.02,0.333280203,0.333280203
313,111.50324,35.67759,3.32,0.02,0.345326189,0.345326189
314,111.68016,35.67527,2.29,0.02,0.500640902,0.500640902
315,111.857414,35.6727,1.95,0.02,0.58792647,0.58792647
316,112.03471,35.669865,3.01,0.05,0.952152309,0.952152309
317,112.211784,35.66678,6.44,0.15,1.334964541,1.334964541
318,112.38893,35.663437,9.48,0.22,1.330084569,1.330084569
319,112.5659,35.659836,9.81,0.32,1.869260643,1.869260643
320,112.743095,35.65598,12.41,0.29,1.339337534,1.339337534
321,112.92014,35.65186,14.52,0.26,1.026368177,1.026368177
322,113.09712,35.64749,14.82,0.17,0.657543558,0.657543558
323,113.27411,35.642864,14.58,0.04,0.157269402,0.157269402
324,113.451225,35.63798,12.98,0,0,0
325,113.62801,35.632843,11.55,0.01,0.049631884,0.049631884
326,113.804985,35.62745,11.62,0.02,0.098665721,0.098665721
327,113.98183,35.621796,10.81,0.03,0.159087956,0.159087956
328,114.1586,35.615887,9.22,0.02,0.1243487,0.1243487
329,114.33536,35.609722,6.84,0,0,0
330,114.51211,35.60331,1.57,0,0,0
331,114.68881,35.596634,0.01,0,0,0
332,118.737015,35.373215,0.07,0,0,0
333,118.91221,35.36049,0.08,0.01,7.128630261,7.128630261
334,119.08736,35.347504,0.02,0.04,63.46712395,63.46712395
335,119.26231,35.334282,0.02,0.03,56.33849369,56.33849369
