FID,lon,lat,pm02,pm02_1
2306,115.652435,39.076683,2.22,2.22
2307,115.83718,39.06579,1.96,1.96
2308,116.02191,39.054615,1.84,1.84
2309,116.20653,39.04317,1.76,1.76
2310,116.39114,39.031452,1.62,1.62
2311,116.57573,39.01946,1.51,1.51
2312,116.76017,39.007202,1.36,1.36
2313,116.944534,38.99466,1.35,1.35
2314,117.128746,38.98185,1.4,1.4
2315,117.313034,38.96876,1.45,1.45
2316,117.49719,38.955406,1.52,1.52
2317,117.68125,38.941784,1.57,1.57
2318,117.865295,38.927883,1.64,1.64
2319,118.049065,38.91371,1.71,1.71
2320,118.23295,38.899277,1.79,1.79
2321,118.41665,38.884563,1.89,1.89
2322,118.60029,38.869576,2.03,2.03
2323,118.78378,38.85434,2.14,2.14
2324,118.967255,38.83882,2.03,2.03
2325,119.15058,38.823036,9.18,9.18
2326,119.333786,38.806984,10.31,10.31
2327,119.51701,38.790665,12.11,12.11
2328,119.700005,38.77408,13.19,13.19
2329,119.88299,38.757225,15.91,15.91
2330,120.06583,38.74011,18.8,18.8
2331,120.24857,38.72273,20.99,20.99
2332,120.43116,38.705074,21.65,21.65
2333,120.613655,38.68716,20.99,20.99
2334,120.79606,38.668987,19.61,19.61
2335,120.978355,38.65055,18.84,18.84
2336,121.16053,38.631847,18.75,18.75
2337,121.34251,38.61289,17.39,17.39
2338,121.524506,38.59367,16.38,16.38
2339,121.706245,38.574173,16.11,16.11
2340,121.88797,38.554432,16.05,16.05
2341,122.069595,38.53443,15.85,15.85
2342,122.25098,38.514156,15.39,15.39
2343,122.43228,38.49364,14.66,14.66
2344,122.61349,38.47286,13.93,13.93
2345,109.90512,39.418053,33.41,33.41
2346,110.08847,39.415516,34.37,34.37
2347,110.275536,39.412697,33.63,33.63
2348,110.46182,39.409588,41.24,41.24
2349,110.64801,39.406208,47.15,47.15
2350,110.83416,39.402542,37.88,37.88
2351,111.020294,39.398594,36.84,36.84
2352,111.2061,39.394363,37.52,37.52
2353,111.39213,39.389854,39.47,39.47
2354,111.57818,39.38506,36.87,36.87
2355,111.764145,39.379986,38.74,38.74
2356,111.95044,39.37463,36.57,36.57
2357,112.13616,39.36899,26.32,26.32
2358,112.32212,39.363075,22.03,22.03
2359,112.50812,39.35687,19.67,19.67
2360,112.69406,39.350395,13.02,13.02
2361,112.87998,39.343636,14.4,14.4
2362,113.065865,39.336597,10.59,10.59
