lon,lat,pm01,pm02
117.71111,33.83668,11.76,11.76
117.88335,33.82516,14.94,14.94
118.055595,33.813396,17.29,17.29
118.227776,33.80139,18.54,18.54
118.39983,33.78915,19.38,19.38
118.57188,33.776665,18.55,18.55
118.7438,33.763943,18.17,18.17
118.91571,33.75098,22.11,22.11
119.08747,33.73778,29.23,29.23
119.259125,33.724346,36.88,36.88
119.43076,33.71068,39.51,39.51
119.60227,33.696762,31.3,31.3
119.77379,33.682617,25.65,25.65
119.945114,33.668236,23.68,23.68
120.1164,33.65361,20.9,20.9
120.28752,33.638763,14.01,14.01
120.4587,33.62367,9.09,9.09
120.629684,33.608345,7.96,7.96
120.80064,33.59278,7.08,7.08
120.97141,33.57699,3.9,3.9
121.1422,33.560963,1.65,1.65
121.31279,33.544704,1.39,1.39
121.48331,33.528214,1.26,1.26
121.65372,33.511486,0.82,0.82
121.82403,33.49453,0.54,0.54
121.99427,33.47735,0.51,0.51
122.16441,33.45992,0.65,0.65
122.334404,33.442276,0.78,0.78
122.50433,33.424397,1.02,1.02
122.6741,33.406284,1.19,1.19
122.84386,33.38795,1.19,1.19
123.01343,33.369377,12.14,12.14
123.1829,33.35059,13.96,13.96
123.521515,34.220776,16.66,16.66
107.47159,34.224262,21.17,21.17
107.64557,34.2275,38.77,38.77
107.81967,34.230484,57.38,57.38
107.993774,34.23322,59.41,59.41
108.16794,34.235714,57.04,57.04
108.34201,34.23794,23.16,23.16
108.51575,34.23994,15.14,15.14
108.69046,34.241676,9.4,9.4
108.864075,34.24317,8.2,8.2
109.03854,34.244423,8.58,8.58
109.21292,34.245415,9.41,9.41
109.387054,34.246162,9.55,9.55
109.56076,34.246662,9.06,9.06
109.73459,34.246918,9.05,9.05
109.91153,34.246914,8.97,8.97
110.08393,34.246677,9.04,9.04
110.25793,34.24618,9.21,9.21
110.43296,34.245445,10.69,10.69
110.60652,34.244465,11.85,11.85
110.780594,34.24323,11.97,11.97
110.95429,34.241753,12.97,12.97
111.129,34.24002,15.04,15.04
111.303116,34.238037,22.05,22.05
111.47711,34.23581,26.13,26.13
111.65091,34.23333,22.31,22.31
111.82521,34.2306,21.26,21.26
111.99929,34.227623,20.63,20.63
112.17349,34.224403,21.55,21.55
112.34736,34.220932,22.18,22.18
112.52135,34.217216,29.2,29.2
112.69537,34.21324,37.75,37.75
112.869354,34.20903,33.97,33.97
113.04311,34.204563,31.62,31.62
113.21723,34.199852,36.47,36.47
113.391136,34.194893,29.7,29.7
113.56491,34.189686,24.18,24.18
113.73875,34.184235,21.75,21.75
113.91247,34.178535,20.25,20.25
114.0862,34.17259,18.61,18.61
114.260025,34.16639,16.39,16.39
114.43372,34.159958,15.62,15.62
114.6073,34.153267,15.27,15.27
114.78082,34.146336,14.55,14.55
114.95448,34.13916,13.59,13.59
115.127975,34.13173,13.16,13.16
115.30142,34.12406,12.63,12.63
115.4749,34.11615,13.92,13.92
115.64816,34.107983,16.83,16.83
115.82161,34.099583,16.35,16.35
115.9948,34.09093,17.67,17.67
116.16809,34.082035,29.4,29.4
116.34122,34.0729,22.51,22.51
116.514275,34.06352,18.14,18.14
116.6873,34.05389,18.41,18.41
116.86033,34.04403,18.79,18.79
117.033226,34.03391,17.16,17.16
117.20607,34.023556,14.32,14.32
117.37891,34.012962,12.72,12.72
117.5516,34.00212,13.59,13.59
117.724236,33.991043,15.32,15.32
117.89686,33.97971,17,17
118.06938,33.968147,18.19,18.19
118.24182,33.95634,18.78,18.78
118.41418,33.944298,19.04,19.04
118.58653,33.932014,18.23,18.23
118.75873,33.919483,17.52,17.52
118.93088,33.906715,20.98,20.98
119.102936,33.89371,25.75,25.75
119.2749,33.88047,28.39,28.39
119.446815,33.86698,30.03,30.03
119.61859,33.85326,23.72,23.72
119.79036,33.8393,22.84,22.84
119.962006,33.82511,20.44,20.44
120.13355,33.810673,15.93,15.93
120.305046,33.795998,9.3,9.3
120.47646,33.78109,7.26,7.26
120.64772,33.765945,6.73,6.73
120.818954,33.75057,4.83,4.83
120.98998,33.734955,2.04,2.04
121.161026,33.719112,1.32,1.32
121.331894,33.703022,1.22,1.22
121.50272,33.68671,0.96,0.96
121.67345,33.67016,0.61,0.61
121.844025,33.653374,0.53,0.53
122.01455,33.636356,0.56,0.56
122.18493,33.619106,0.72,0.72
122.355225,33.601627,0.91,0.91
122.52544,33.583916,1.16,1.16
122.695465,33.56598,1.22,1.22
122.86547,33.547806,1.22,1.22
123.03531,33.529408,17.58,17.58
123.20504,33.51077,17.49,17.49
123.3747,33.49191,18.32,18.32
