FID,lon,lat,pm03
600,116.64092,35.649773,1.19
601,116.81722,35.64002,1.27
602,116.99351,35.63001,1.34
603,117.16982,35.61975,1.46
604,117.34596,35.609234,1.58
605,117.52202,35.59847,1.57
606,117.69805,35.587452,1.58
607,117.873955,35.576187,1.65
608,118.0499,35.564663,1.6
609,118.22567,35.552895,1.3
610,118.40135,35.540874,0.5
611,118.576965,35.528603,0.26
612,118.75253,35.51608,0.17
613,118.928024,35.503307,0.12
614,119.103455,35.490284,0.14
615,119.27873,35.477013,0.16
616,119.45395,35.4635,0.19
617,119.62905,35.44973,0.21
618,119.80412,35.43571,0.24
619,119.979065,35.421448,0.27
620,120.15394,35.40694,0.3
621,120.32869,35.39219,0.33
622,120.50336,35.377182,0.37
623,120.67792,35.361935,0.41
624,120.85236,35.34644,0.46
625,121.0267,35.3307,0.51
626,121.20106,35.31472,0.56
627,121.37512,35.298496,0.63
628,121.549164,35.282024,0.73
629,121.72315,35.265312,0.9
630,121.89697,35.248356,1.16
631,122.070724,35.23115,1.44
632,122.24436,35.21371,1.68
633,122.41782,35.19603,1.74
634,122.59122,35.17811,6.15
635,109.90512,35.9748,8.41
636,110.08847,35.974545,6.67
637,110.26318,35.97403,5.11
638,110.4419,35.973255,4.73
639,110.619286,35.972214,4.42
640,110.79697,35.97092,4.34
641,110.974785,35.96936,4.37
642,111.15318,35.96755,4.45
643,111.3309,35.965473,4.43
644,111.5087,35.963146,4.4
645,111.68644,35.96055,4.68
646,111.86425,35.957703,5.91
647,112.04211,35.95459,7.23
648,112.21982,35.95122,7.06
649,112.397514,35.9476,7.48
650,112.575195,35.943714,6.66
651,112.75293,35.939568,6.65
652,112.93065,35.93517,5.75
653,113.10816,35.930508,5.22
654,113.28593,35.92559,4.92
655,113.46357,35.92041,5.04
656,113.64116,35.914974,4.82
657,113.8185,35.90929,4.63
658,113.99611,35.90334,4.46
659,114.173454,35.897133,4.35
660,114.35082,35.890667,4.13
661,114.52823,35.883945,4.05
662,114.705574,35.87697,3.88
663,114.88287,35.869736,3.37
664,115.06005,35.862244,2.83
665,115.23731,35.854492,2.47
666,115.41436,35.846485,2.09
667,115.59153,35.838223,1.96
668,115.76858,35.829716,1.83
669,115.94551,35.820946,1.66
670,116.122444,35.811916,1.36
671,116.29925,35.802643,1.24
672,116.47609,35.793102,1.25
673,116.65282,35.783318,1.22
674,116.829445,35.773273,1.2
675,117.00606,35.762978,1.25
676,117.18262,35.752426,1.41
677,117.35912,35.741627,1.51
678,117.53547,35.730564,1.59
679,117.71178,35.719257,1.87
680,117.8881,35.707695,1.98
681,118.06427,35.695885,1.87
682,118.24032,35.68382,1.27
683,118.41634,35.6715,0.45
684,118.592316,35.65894,0.27
685,118.76812,35.646114,0.16
686,118.94392,35.633053,0.15
687,119.11958,35.61973,0.17
688,119.29526,35.606167,0.19
689,119.47073,35.592354,0.22
690,119.646126,35.57829,0.26
691,119.82152,35.563976,0.3
692,119.99677,35.549416,0.34
693,120.1719,35.534607,0.38
694,120.34696,35.519558,0.42
695,120.52193,35.504253,0.47
696,120.69683,35.4887,0.52
697,120.87157,35.47291,0.61
698,121.046234,35.45687,0.68
699,121.220795,35.44059,0.76
700,121.39526,35.424057,0.83
701,121.56965,35.407288,0.99
702,121.74387,35.390274,1.17
703,121.91798,35.373016,1.35
704,122.091965,35.35551,1.57
705,122.26591,35.337765,1.67
706,122.439705,35.31978,5.9
707,122.613396,35.30155,6.01
708,109.90512,36.11877,6.39
709,110.09065,36.11852,5.14
710,110.26393,36.118,5.03
711,110.442345,36.117214,4.94
712,110.62055,36.116177,4.78
713,110.79868,36.11488,4.79
714,110.97679,36.11331,5.03
715,111.15488,36.111496,5.21
716,111.332954,36.109417,5.28
717,111.51129,36.107075,4.99
718,111.68934,36.104473,7.18
719,111.86771,36.101612,8.67
720,112.04565,36.098495,9.08
721,112.223785,36.095116,9.12
722,112.402,36.091473,8.01
723,112.58013,36.087578,7.68
724,112.757904,36.08342,6.64
725,112.93578,36.078995,5.44
726,113.11395,36.07432,4.93
727,113.29194,36.06939,4.99
728,113.46978,36.06419,4.88
729,113.64755,36.05874,4.7
730,113.82542,36.05303,4.55
